"Water Control Zone","Station","Dates","Sample No","Type","Zinc (mg/kg)","Vanadium (mg/kg)","Total Volatile Solid (% Total Solid)","Total Sulphide (mg/kg)","Total Solid (%w/w)","Total Polychlorinated Biphenyls (μg/kg)","Total Phosphorus (mg/kg)","Total Kjeldahl Nitrogen (mg/kg)","Total Cyanide (mg/kg)","Total Carbon (%w/w)","Silver (mg/kg)","Pyrene (μg/kg)","Phenanthrene (μg/kg)","Particle Size Fraction <63 micrometer (%w/w)","Nickel (mg/kg)","Naphthalene (μg/kg)","Mercury (mg/kg)","Manganese (mg/kg)","Lead (mg/kg)","Iron (mg/kg)","Indeno(1,2,3-cd)pyrene (μg/kg)","Fluorene (μg/kg)","Fluoranthene (μg/kg)","Electrochemical Potential (mV)","Dry Wet Ratio","Dibenzo(ah)anthracene (μg/kg)","Copper (mg/kg)","Chrysene (μg/kg)","Chromium (mg/kg)","Chemical Oxygen Demand (mg/kg)","Cadmium (mg/kg)","Boron (mg/kg)","Benzo(k)fluoranthene (μg/kg)","Benzo(ghi)perylene (μg/kg)","Benzo(b)fluoranthene (μg/kg)","Benzo(a)pyrene (μg/kg)","Benzo(a)anthracene (μg/kg)","Barium (mg/kg)","Arsenic (mg/kg)","Anthracene (μg/kg)","Ammonia Nitrogen (mg/kg)","Aluminium (mg/kg)","Acenaphthylene (μg/kg)","Acenaphthene (μg/kg)"
"Deep Bay","DS1","1987-09-17","1","Bulk Sample","330","N/A","4","270","41","N/A","890","1200","<0","2.7","N/A","N/A","N/A","222","15","N/A","0.52","440","73","31000","N/A","N/A","N/A","N/A","0.42","N/A","66","N/A","66","5400","0.3","9","N/A","N/A","N/A","N/A","N/A","N/A","10","N/A","0.51","N/A","N/A","N/A"
"Deep Bay","DS1","1988-02-25","1","Bulk Sample","N/A","N/A","N/A","N/A","54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Deep Bay","DS1","1988-08-08","1","Bulk Sample","230","N/A","8","5.4","45","N/A","680","780","0.1","2","N/A","N/A","N/A","90","19","N/A","0.2","480","61","29000","N/A","N/A","N/A","-387","0.45","N/A","96","N/A","44","27000","0.4","<1","N/A","N/A","N/A","N/A","N/A","N/A","4.5","N/A","8","N/A","N/A","N/A"
"Deep Bay","DS1","1989-03-14","1","Bulk Sample","210","N/A","11","86","39","N/A","810","460","0","2.4","N/A","N/A","N/A","95","26","N/A","0.18","430","71","32000","N/A","N/A","N/A","-193","0.45","N/A","85","N/A","43","23000","7.3","8","N/A","N/A","N/A","N/A","N/A","N/A","9.6","N/A","0.08","N/A","N/A","N/A"
"Deep Bay","DS1","1991-06-14","1","Bulk Sample","270","N/A","4.5","<0","58","N/A","710","1800","<0","0.8","N/A","N/A","N/A","76","25","N/A","0.43","210","67","23000","N/A","N/A","N/A","-206","0.49","N/A","160","N/A","49","27000","6.5","29","N/A","N/A","N/A","N/A","N/A","N/A","10","N/A","10.5","13000","N/A","N/A"
"Deep Bay","DS1","1992-07-20","1","Bulk Sample","240","N/A","7","0.7","43","N/A","379","692","<0.1","0.7","N/A","N/A","N/A","81","27","N/A","0.14","270","74","28000","N/A","N/A","N/A","-35","0.43","N/A","120","N/A","51","17000","<0.5","16","N/A","N/A","N/A","N/A","N/A","N/A","11","N/A","15.4","17000","N/A","N/A"
"Deep Bay","DS1","1992-09-16","1","Bulk Sample","230","N/A","8","0.5","54","N/A","954","844","<0.1","0.8","N/A","N/A","N/A","90","29","N/A","0.15","350","69","29000","N/A","N/A","N/A","-227","0.54","N/A","95","N/A","51","15000","<0.5","19","N/A","N/A","N/A","N/A","N/A","N/A","15","N/A","1.69","16000","N/A","N/A"
"Deep Bay","DS1","1992-11-11","1","Bulk Sample","230","N/A","8.8","30","48","N/A","570","500","N/A","0.5","N/A","N/A","N/A","75","25","N/A","0.22","400","57","30000","N/A","N/A","N/A","-148","0.46","N/A","84","N/A","45","19000","<0.5","11","N/A","N/A","N/A","N/A","N/A","N/A","12","N/A","8.9","20000","N/A","N/A"
"Deep Bay","DS1","1993-01-12","1","Bulk Sample","210","N/A","8.1","330","46","N/A","680","430","<0.1","0.7","N/A","N/A","N/A","86","26","N/A","0.16","380","59","33000","N/A","N/A","N/A","-174","0.45","N/A","78","N/A","49","23000","<0.5","13","N/A","N/A","N/A","N/A","N/A","N/A","16","N/A","9.86","22000","N/A","N/A"
"Deep Bay","DS1","1993-03-12","1","Bulk Sample","210","N/A","8.6","450","40","N/A","540","320","<0.1","0.4","N/A","N/A","N/A","84","29","N/A","<0.13","390","63","35000","N/A","N/A","N/A","-212","0.4","N/A","90","N/A","53","22000","<0.5","17","N/A","N/A","N/A","N/A","N/A","N/A","15","N/A","23","23000","N/A","N/A"
